"paperName","researcher","journal","citations","year"
"Competitive storage and commodity price dynamics","A Deaton, G Laroque","Journal of Political Economy 104 (5), 896-923, 1996","612","1996"
"A snapshot of the age distribution of psychological well-being in the United States","AA Stone, JE Schwartz, JE Broderick, A Deaton","Proceedings of the National Academy of Sciences 107 (22), 9985-9990, 2010","598","2010"
"The time series consumption function revisited","AS Blinder, A Deaton, RE Hall, RG Hubbard","Brookings Papers on Economic Activity 1985 (2), 465-521, 1985","513","1985"
"Rice prices and income distribution in Thailand: a non-parametric analysis","A Deaton","The Economic Journal 99 (395), 1-37, 1989","500","1989"
"Counting the world's poor: problems and possible solutions","A Deaton","The World Bank Research Observer 16 (2), 125-147, 2001","497","2001"
"Mortality and morbidity in the 21st century","A Case, A Deaton","Brookings papers on economic activity 2017 (1), 397-476, 2017","496","2017"
"International commodity prices, macroeconomic performance, and politics in Sub-Saharan Africa","A Deaton, RI Miller","International Finance Section, Department of Economics, Princeton University, 1995","486","1995"
"Life-cycle models of consumption: Is the evidence consistent with the theory?","A Deaton","National Bureau of Economic Research, 1986","476","1986"
"Designing household survey questionnaires for developing countries","M Grosh, P Glewwe","World Bank Publications, 2000","454","2000"
"Understanding and misunderstanding randomized controlled trials","A Deaton, N Cartwright","Social Science & Medicine 210, 2-21, 2018","438","2018"
"Testing non-nested nonlinear regression models","MH Pesaran, AS Deaton","Econometrica: Journal of the Econometric Society, 677-694, 1978","438","1978"
"Mortality, education, income, and inequality among American cohorts","AS Deaton, C Paxson","Themes in the Economics of Aging, 129-170, 2001","434","2001"
"Saving, growth, and aging in Taiwan","AS Deaton, C Paxson","Studies in the Economics of Aging, 331-362, 1994","434","1994"
"Height, health, and development","A Deaton","Proceedings of the National Academy of Sciences 104 (33), 13232-13237, 2007","413","2007"
"Understanding PPPs and PPP-based national accounts","A Deaton, A Heston","American Economic Journal: Macroeconomics 2 (4), 1-35, 2010","411","2010"
"Mortality, inequality and race in American cities and states","A Deaton, D Lubotsky","Social science & medicine 56 (6), 1139-1153, 2003","410","2003"
"The financial crisis and the well-being of Americans 2011 OEP Hicks Lecture","A Deaton","Oxford economic papers 64 (1), 1-26, 2012","408","2012"
"Demand analysis","A Deaton","Handbook of econometrics 3, 1767-1839, 1986","408","1986"
"Aging and inequality in income and health","AS Deaton, CH Paxson","The American Economic Review 88 (2), 248-253, 1998","404","1998"
"Price indexes, inequality, and the measurement of world poverty","A Deaton","American Economic Review 100 (1), 5-34, 2010","403","2010"
"Broken down by work and sex: How our health declines","A Case, AS Deaton","Analyses in the Economics of Aging, 185-212, 2005","383","2005"
"Involuntary saving through unanticipated inflation","A Deaton","The American Economic Review 67 (5), 899-910, 1977","369","1977"
"Statistical models for zero expenditures in household budgets","A Deaton, M Irish","Journal of Public Economics 23 (1-2), 59-80, 1984","360","1984"
"Data and dogma: the great Indian poverty debate","A Deaton, V Kozel","The World Bank Research Observer 20 (2), 177-199, 2005","352","2005"
"Looking for boy-girl discrimination in household expenditure data","A Deaton","The World Bank Economic Review 3 (1), 1-15, 1989","352","1989"
"Adult height and childhood disease","C Bozzoli, A Deaton, C Quintana-Domeque","Demography 46 (4), 647-669, 2009","332","2009"
"Household saving in LDCs: Credit markets, insurance and welfare","A Deaton","The Scandinavian Journal of Economics, 253-273, 1992","329","1992"
"The influence of household composition on household expenditure patterns: theory and Spanish evidence","AS Deaton, J Ruiz-Castillo, D Thomas","Journal of political economy 97 (1), 179-200, 1989","327","1989"
"The distance function in consumer behaviour with applications to index numbers and optimal taxation","A Deaton","The Review of Economic Studies 46 (3), 391-405, 1979","317","1979"
"The effects of economic and population growth on national saving and inequality","AS Deaton, CH Paxson","Demography 34 (1), 97-114, 1997","294","1997"
"Price elasticities from survey data: extensions and Indonesian results","A Deaton","Journal of econometrics 44 (3), 281-309, 1990","287","1990"
"A reconsideration of the empirical implications of additive preferences","A Deaton","The Economic Journal 84 (334), 338-348, 1974","278","1974"
"Optimal taxes and the structure of preferences","A Deaton","Econometrica: Journal of the Econometric Society, 1245-1260, 1981","274","1981"
"Making aid work","AV Banerjee","MIT press, 2007","270","2007"
"Using census and survey data to estimate poverty and inequality for small areas","A Tarozzi, A Deaton","The review of economics and statistics 91 (4), 773-792, 2009","269","2009"
"Growth and saving among individuals and households","A Deaton, C Paxson","Review of Economics and Statistics 82 (2), 212-225, 2000","266","2000"
"Franco Modigliani and the life cycle theory of consumption","A Deaton","Available at SSRN 686475, 2005","259","2005"
"Inequalities in income and inequalities in health","A Deaton","National bureau of economic research, 1999","259","1999"
"Estimation of own-and cross-price elasticities from household survey data","A Deaton","Journal of Econometrics 36 (1-2), 7-30, 1987","258","1987"
"Adjusted Indian poverty estimates for 1999-2000","A Deaton","Economic and political Weekly, 322-326, 2003","255","2003"
"Prices and poverty in India","A Deaton, A Tarozzi","Princeton, July, 2000","252","2000"
"The analysis of consumer demand in the United Kingdom, 1900-1970","AS Deaton","Econometrica: Journal of the Econometric Society, 341-367, 1974","252","1974"
"Saving and income smoothing in Cote d'Ivoire","A Deaton","Research Program in Development Studies, Woodrow Wilson School, Princeton …, 1992","249","1992"
"Mortality, income, and income inequality over time in Britain and the United States","AS Deaton, C Paxson","Perspectives on the Economics of Aging, 247-286, 2004","240","2004"
"Health care delivery in rural Rajasthan","A Banerjee, A Deaton, E Duflo","Economic and Political Weekly, 944-949, 2004","233","2004"
"Health in an Age of Globalization","A Deaton","National Bureau of Economic Research, 2004","229","2004"
"Life cycle saving and the demographic transition in East Asia","R Lee, A Mason, T Miller","Population and Development Review 26, 194-222, 2000","217","2000"
"Data and econometric tools for development analysis","A Deaton","Handbook of development economics 3, 1785-1882, 1995","216","1995"
"Models and projections of demand in post-war Britain","A Deaton","Springer, 2013","215","2013"
"Relative deprivation, inequality, and mortality","A Deaton","National Bureau of Economic Research, 2001","207","2001"
"Measuring poverty","A Deaton","Understanding poverty, 3-15, 2006","204","2006"
"Getting prices right: what should be done?","A Deaton","Journal of Economic Perspectives 12 (1), 37-46, 1998","198","1998"
"Prices and poverty in India, 1987-2000","A Deaton","Economic and political Weekly, 362-368, 2003","195","2003"
"An evaluation of World Bank research, 1998-2005","AV Banerjee, A Deaton, N Lustig, K Rogoff, E Hsu","Available at SSRN 2950327, 2006","191","2006"
"Theoretical and empirical approaches to consumer demand under rationing","A Deaton","Essays in the theory and measurement of consumer behavior, 55-72, 1981","189","1981"
"Optimally uniform commodity taxes","A Deaton","Economics Letters 2 (4), 357-361, 1979","189","1979"
"Height, health, and inequality: the distribution of adult heights in India","A Deaton","American Economic Review 98 (2), 468-74, 2008","184","2008"
"oAn almost ideal demand systemp","A Deaton, J Muellbauer","American Economic Review 70, 312, 1980","180","1980"
"Life at the top: the benefits of height","A Deaton, R Arora","Economics & Human Biology 7 (2), 133-136, 2009","178","2009"
"International price and quantity comparisons: potentials and pitfalls","A Heston, R Summers","The American economic review 86 (2), 20-24, 1996","177","1996"
"Wellbeing and policy","G O’Donnell, A Deaton, M Durand, D Halpern, R Layard","Legatum Institute, 2014","176","2014"
"Global patterns of income and health: facts, interpretations, and policies","A Deaton","National Bureau of Economic Research, 2006","160","2006"
"The great Indian poverty debate","A Deaton, V Kozel","Macmillan _, 2005","157","2005"
"Growth, demographic structure, and national saving in Taiwan","A Deaton, C Paxson","Population and Development Review 26, 141-173, 2000","156","2000"
"Two happiness puzzles","A Deaton, AA Stone","American Economic Review 103 (3), 591-97, 2013","148","2013"
"Consumption, health, gender, and poverty","A Case, A Deaton","The World Bank, 2003","140","2003"
"Gender effects in Indian consumption patterns","S Subramanian, A Deaton","Sarvekshana 14 (4), 1-12, 1991","137","1991"
"Measurement of welfare: Theory and practical guidelines","MA Erbetta, I Bertilsson","The World Bank, 1980","137","1980"
"Understanding the mechanisms of economic development","A Deaton","Journal of Economic Perspectives 24 (3), 3-16, 2010","136","2010"
"How to monitor poverty for the Millennium Development Goals","A Deaton","Journal of Human Development 4 (3), 353-378, 2003","132","2003"
"Optimally uniform commodity taxes, taste differences and lump-sum grants","A Deaton, N Stern","Economics Letters 20 (3), 263-266, 1986","132","1986"
"Development economics through the decades: a critical look at thirty years of the world development report","S Yusuf","The World Bank, 2008","127","2008"
"Taxes and growth in a financially underdeveloped country: Evidence from the Chilean investment boom","CT Hsieh, JA Parker","National Bureau of Economic Research, 2006","117","2006"
"Saving and growth","A Deaton","Princeton, Woodrow Wilson School-Development Studies Papers, 1997","117","1997"
"Trying to Understand the PPPs in ICP 2011: Why are the Results so Different?","A Deaton, B Aten","American Economic Journal: Macroeconomics 9 (1), 243-64, 2017","116","2017"
"Estimating a nonlinear rational expectations commodity price model with unobservable state variables","A Deaton, G Laroque","Journal of Applied Econometrics 10 (S1), S9-S40, 1995","115","1995"
"Equity, efficiency, and the structure of indirect taxation","A Deaton","Journal of Public Economics 8 (3), 299-312, 1977","110","1977"
"Psychological wellbeing, health and ageing","A Steptoe, A Deaton, AA Stone","Lancet 385 (9968), 640, 2015","107","2015"
"Econometric issues for tax design in developing countries","A Deaton","Woodrow Wilson School, Princeton University, 1984","107","1984"
"Is world poverty falling?","A Deaton","Finance and Development 39 (2), 4-7, 2002","106","2002"
"Purchasing power parity exchange rates for the global poor","A Deaton, O Dupriez","American Economic Journal: Applied Economics 3 (2), 137-66, 2011","103","2011"
"A model of commodity prices after Sir Arthur Lewis","A Deaton, G Laroque","Journal of Development Economics 71 (2), 289-310, 2003","102","2003"
"El gran escape: salud, riqueza y los orígenes de la desigualdad","A Deaton","Fondo de Cultura Económica, 2015","101","2015"
"Commodity prices, stabilization, and growth in Africa","A Deaton","Research Program in Development Studies, Woodrow Wilson School of Public and …, 1992","99","1992"
"Health, income, and inequality","A Deaton","National Bureau of Economic Research Reporter: Research Summary. Retrieved …, 2003","98","2003"
"Household survey data and pricing policies in developing countries","A Deaton","The World Bank Economic Review 3 (2), 183-210, 1989","98","1989"
"Functional forms for labor supply and commodity demands with and without quantity restrictions","A Deaton, J Muellbauer","Econometrica: Journal of the Econometric Society, 1521-1532, 1981","98","1981"
"Specification and testing in applied demand analysis","A Deaton","The Economic Journal 88 (351), 524-536, 1978","90","1978"
"Poverty among children and the elderly in developing countries","A Deaton, CH Paxson","Research Program in Development Studies, Woodrow Wilson School, Princeton …, 1997","86","1997"
"The great escape: A review of robert fogel's the escape from hunger and premature death, 1700-2100","A Deaton","Journal of Economic Literature 44 (1), 106-114, 2006","85","2006"
"Analysis of household expenditures.","A Deaton, A Case","Washington DC World Bank 1988., 1988","85","1988"
"Testing linear versus logarithmic regression models","G Aneuryn-Evans, A Deaton","The Review of Economic Studies 47 (1), 275-291, 1980","85","1980"
"What does the empirical evidence tell us about the injustice of health inequalities","A Deaton","Inequalities in health: concepts measures, and ethics 263, 281, 2013","84","2013"
"Health and wealth among the poor: India and South Africa compared","A Case, A Deaton","American Economic Review 95 (2), 229-233, 2005","84","2005"
"Muellbauer J.(1980) Economics and Consumer Behavior","A Deaton","Press Syndicate of the University of Cambridge 32, 1989","84","1989"
"Collecting Panel Data in Developing Countries: Does It Make Sense? Living Standards Measurement Study Working Paper No. 23.","O Ashenfelter","","83","1986"
"Model selection procedures, or does the consumption function exist","AS Deaton","Evaluating the reliability of macroeconomic models, 43-65, 1982","82","1982"
"Muellbauer (1980)","A Deaton","Economics and consumer behavior, 1980","82","1980"
"Measuring poverty among the elderly","AS Deaton, C Paxson","Inquiries in the Economics of Aging, 169-204, 1998","79","1998"
"The allocation of goods within the household: Adults, children, and gender","A Deaton","","76","1987"
"The measurement of income and price elasticities","AS Deaton","European Economic Review 6 (3), 261-273, 1975","76","1975"
"Household surveys, consumption, and the measurement of poverty","A Deaton","Economic Systems Research 15 (2), 135-159, 2003","73","2003"
"Household welfare and the pricing of cocoa and coffee in Côte d'Ivoire: lessons from the Living Standards Surveys","D Benjamin, A Deaton","The World Bank Economic Review 7 (3), 293-318, 1993","71","1993"
"Introduction to"" The Distributional Aspects of Social Security and Social Security Reform""","MS Feldstein, JB Liebman","The Distributional Aspects of Social Security and Social Security Reform, 1-10, 2002","68","2002"
"Evaluative and hedonic wellbeing among those with and without children at home","A Deaton, AA Stone","Proceedings of the National Academy of Sciences 111 (4), 1328-1333, 2014","67","2014"
"Price trends in India and their implications for measuring poverty","A Deaton","Economic and Political Weekly, 43-49, 2008","67","2008"
"Demand analysis and tax reform in Pakistan","A Deaton, F Grimard, B Mundial","World Bank, 1992","67","1992"
"Spatial price differences within large countries","A Deaton, O Dupriez","Manuscript, Princeton University, July, 2011","66","2011"
"Three essays on a Sri Lanka household survey","A Deaton","Washington DC International Bank for Reconstruction and Development [World …, 1981","65","1981"
"Aging, religion, and health","AS Deaton","National Bureau of Economic Research, 2009","63","2009"
"Measuring development: different data, different conclusions","A Deaton","Measure for measure how well do we measure development, 2011","62","2011"
"Essays in the Theory and Measurement of Consumer Behaviour: In Honour of Sir Richard Stone","A Deaton","","62","2008"
"Growth and saving: What do we know, what do we need to know, and what might we learn?","A Deaton","Banco Mundial. Washington, DC, Estados Unidos. Manuscrito, 1995","58","1995"
"Suicide, age, and wellbeing: an empirical investigation","A Case, A Deaton","National Bureau of Economic Research, 2015","57","2015"
"Commentary: The convoluted story of international studies of inequality and health","A Deaton","International Journal of Epidemiology 31 (3), 546-549, 2002","56","2002"
"Housing, land prices, and growth","A Deaton, G Laroque","Journal of Economic Growth 6 (2), 87-105, 2001","56","2001"
"Health, income, and inequality over the life cycle","AS Deaton, C Paxson","Frontiers in the Economics of Aging, 431-462, 1998","56","1998"
"The determinants of mortality","A Deaton, D Cutler, A Lleras-Muney","Journal of Economic Perspectives 20 (3), 97-120, 2006","54","2006"
"Social security and inequality over the life cycle","AS Deaton, PO Gourinchas, C Paxson","The distributional aspects of Social Security and Social Security reform …, 2002","52","2002"
"An almost ideal demand system","J Muellbauer, A Deaton","American Economic Review 70 (3), 312-26, 1980","52","1980"
"Wealth effects on consumption in a modified life-cycle model","AS Deaton","The Review of Economic Studies 39 (4), 443-453, 1972","52","1972"
"Life (evaluation), HIV/AIDS, and death in Africa","A Deaton, J Fortson, R Tortora","National Bureau of Economic Research, 2009","51","2009"
"The Living Standards Survey and Price Policy Reform-A Study of Cocoa and Coffee Production in Cote d'Ivoire","A Deaton, D Benjamin","World Bank-Living Standards Measurement Papers, 1988","48","1988"
"Stunting among children: Facts and implications","D Coffey, A Deaton, J Drèze, D Spears, A Tarozzi","Economic and Political Weekly 48 (34), 68-70, 2013","47","2013"
"Child mortality, income and adult height","C Bozzoli, AS Deaton, C Quintana-Domeque","National Bureau of Economic Research, 2007","47","2007"
"Saving, inequality and aging: An East Asian perspective","AS Deaton, CH Paxson","Age 1 (45), 55, 1995","47","1995"
"The estimation and testing of systems of dmeand equations: A note","AS Deaton","European Economic Review 3 (4), 399-411, 1972","47","1972"
"Computing prices and poverty rates in India, 1999-2000","A Deaton","Research Program in Development Studies, Princeton university, Princeton …, 2001","46","2001"
"On Risk, Insurance and Intra-Village Consumption Smoothing","A Deaton","Preliminary Draft, Research Program in Development Studies. Princeton University, 1990","45","1990"
"Global patterns of income and health: facts, interpretations, and policies","A Deaton","UNU/WIDER, 2007","44","2007"
"Estimating a system of recreation demand functions using a seemingly unrelated Poisson regression approach","T Ozuna Jr, IA Gomez","The Review of Economics and Statistics, 356-360, 1994","43","1994"
"Measuring and understanding behavior, welfare, and poverty","A Deaton","American Economic Review 106 (6), 1221-43, 2016","42","2016"
"John Snow's legacy: epidemiology without borders","P Fine, CG Victora, KJ Rothman, PS Moore, Y Chang, V Curtis, ...","The Lancet 381 (9874), 1302-1311, 2013","42","2013"
"Health and well-being in Udaipur and South Africa","A Case, A Deaton","Developments in the Economics of Aging, 317-349, 2009","42","2009"
"Nutrition, poverty and calorie fundamentalism: response to Utsa Patnaik","A Deaton, J Drèze","Economic and Political Weekly, 78-80, 2010","41","2010"
"Parametric and nonparametric approaches to price and tax reform","A Deaton, S Ng","Journal of the American Statistical Association 93 (443), 900-909, 1998","38","1998"
"People in sub-Saharan Africa rate their health and health care among the lowest in the world","AS Deaton, R Tortora","Health Affairs 34 (3), 519-527, 2015","37","2015"
"Patterns of aging in Thailand and Côte d'Ivoire","AS Deaton, C Paxson","Topics in the economics of aging, 163-206, 1992","37","1992"
"Saving and growth: another look at the cohort evidence","A Deaton, CH Paxson","Research Program in Development Studies, Princeton University, 1998","35","1998"
"Engel’s what? A response to Gan and Vernon","A Deaton, C Paxson","Journal of Political Economy 111 (6), 1378-1381, 2003","34","2003"
"Consumer expenditure","A Deaton","The New Palgrave Dictionary of Economics: Volume 1–8, 1017-1037, 2008","32","2008"
"Evidence-based aid must not become the latest in a long string of development fads","A Deaton","Making aid work, 60-61, 2007","31","2007"
"Molecular structure of nucleic acids: a structure for deoxyribose nucleic acid","JD Watson, FHC Crick","American Journal of Psychiatry 160 (4), 623-624, 2003","31","2003"
"Purchasing power parity exchange rates from household survey data: India and Indonesia","A Deaton, J Friedman, V Alatas","Princeton Research Program in Development Studies Working Paper, 2004","30","2004"
"Inequality and needs: Some experimental results for Sri Lanka","A Deaton","Population and Development Review, 35-49, 1982","29","1982"
"The Analysis of Household Surveys: Microeconometric analysis for development policy","A Deaton","Princeton University Press, 1994","28","1994"
"The allocation of goods within the household: adults, children, and gender","A Deaton","","28","1988"
"Creative destruction and subjective well-being","P Aghion, U Akcigit, A Deaton, A Roulet","American Economic Review 106 (12), 3869-97, 2016","27","2016"
"An explicit solution to an optimal tax problem","A Deaton","Journal of Public Economics 20 (3), 333-346, 1983","27","1983"
"Understanding context effects for a measure of life evaluation: How responses matter","A Deaton, AA Stone","Oxford Economic Papers 68 (4), 861-870, 2016","26","2016"
"Creative Destruction and Subjective Wellbeing","P Aghion, U Akcigit, A Deaton, A Roulet","National Bureau of Economic Research, 2015","26","2015"
"Purchasing power parity exchange rates for the poor: using household surveys to construct PPPs","A Deaton","MIMEO, Princeton August, 2006","26","2006"
"The Demand for Personal Travel in Developing Countries","A Deaton, D Thomas, J Neelin, N Bhattacharya","World Bank, Policy Planning and Research Staff, Infrastructure and Urban …, 1987","26","1987"
"Handbook of econometrics","A Deaton, Z Griliches, MD Intriligator","Chapter 30, 1768-1839, 1986","25","1986"
"From calorie fundamentalism to cereal accounting","A Deaton, J Drèze","Economic and Political Weekly, 87-92, 2010","24","2010"
"Data for monitoring the poverty MDG","A Deaton","Human Development Report Office occasional paper, UN Development Programme, 2002","24","2002"
"Fontana Economic History of Europe, V. 5, Section 2: The Structure of Demand, 1920-1970","A Deaton","Fontana, 1975","24","1975"
"Testing for separability between goods and leisure using conditional demand systems","M Browning, C Meghir","Econometrica 59 (July), 925-952, 1991","23","1991"
"On the behavior of Commodity Prices","G Laroque, A Deaton","National Bureau of Economic Research, 1990","23","1990"
"On death and money: History, facts, and explanations","A Deaton","Jama 315 (16), 1703-1705, 2016","22","2016"
"Why is consumption so smooth?","A Deaton, J Campbell","Review of Economic Studies 56 (3), 357-373, 1989","22","1989"
"John Muellbauer. 1980","A Deaton, G Laroque","Economics and consumer behavior, 0","22",""
"The US can no longer hide from its deep poverty problem","A Deaton","New York Times 24, 2018","21","2018"
"Consumption","A Deaton, M Grosh","Princeton, Woodrow Wilson School-Development Studies Papers, 1998","20","1998"
"Regional poverty estimates for India, 1999-2000","A Deaton","Research Program in Development Studies, Princeton University, 2003","18","2003"
"Food Demand Pattern and Pricing Policy in Maharashtra: An Analysis Using Household Level Survey Data","A Deaton, KS Parikh, S Subramanian","Indira Gandhi Institute of Development Research, 1994","18","1994"
"Inevitable inequality?","A Deaton","Science 344 (6186), 783-783, 2014","17","2014"
"Income inequality and mortality in US cities: Weighing the evidence. A response to Ash","A Deaton, D Lubotsky","Social science & medicine 68 (11), 1914-1917, 2009","17","2009"
"Global patterns of income and health","A Deaton","Wider Angle 2, 1-3, 2006","17","2006"
"La grande évasion: santé, richesse et origine des inégalités","A Deaton","Presses universitaires de France, 2016","16","2016"
"Muellbauer J","A Deaton","Economics and Consumer Behavior, 1980","16","1980"
"Adult height and childhood disease","C Bozzoli, A Deaton, C Quintana-Domeque","Demography, 2008","15","2008"
"Models of consumer behaviour","A Brown, A Deaton","Surveys of Applied Economics, 177-268, 1973","15","1973"
"Poverty Estimates: How Great Is the Debate?","SG Reddy","Economic and Political Weekly 42 (6), 491-496, 2007","14","2007"
"Economics and consumer behavior, 1980","A Deaton, J Muellbauer","Cambridge University Press: Cambridge, UK, 1988","14","1988"
"Measuring Poverty in a Growing World","A Deaton","eSocialSciences Working Papers, 2015","13","2015"
"Puzzles and paradoxes: a life in applied economics","A Deaton","Eminent Economists II: Their Life and Work Philosophies, 2011","13","2011"
"Econometrica operating procedures","A Deaton, R Guesnerie, LP Hansen, D Kreps","Econometrica: Journal of the Econometric Society, 204-206, 1987","12","1987"
"Block effects in regression analysis using survey data","A Deaton, M Irish","Woodrow Wilson School, Princeton University, 1984","12","1984"
"What do self-reports of wellbeing say about life-cycle theory and policy?","A Deaton","Journal of public economics 162, 18-25, 2018","11","2018"
"Mortality, income, and income inequality among British and American cohorts","A Deaton, C Paxson","Center for Health and Wellbeing, Princeton University, processed, 2001","11","2001"
"Understanding consumption","A Deaton, P Simmons","Economic Journal-Including Annual Conference Paper Supplement 104 (422), 168-168, 1994","11","1994"
"Estimating the commodity price model","A Deaton, G Laroque","Research Program in Development Studies, Center of International Studies …, 1991","11","1991"
"Experiential wellbeing data from the American Time Use Survey: Comparisons with other methods and analytic illustrations with age and income","AA Stone, S Schneider, A Krueger, JE Schwartz, A Deaton","Social indicators research 136 (1), 359-378, 2018","10","2018"
"Publishing and promotion in economics: the curse of the top five","JJ Heckman, G Akerlof, A Deaton, D Fudenberg, L Hansen","AEA Roundatble Discussion at ASSA in Chicago. https://www. aeaweb. org …, 2017","10","2017"
"Velikiy pobeg. Zdorovye, bogatstvo i istoki neravenstva [The great escape: health, wealth, and the origins of inequality]","A Deaton","Trans. from English by A. Guskova. Moscow: Gaidar Institute Publ, 2016","10","2016"
"On tyrannical experts and expert tyrants","A Deaton","The Review of Austrian Economics 28 (4), 407-412, 2015","10","2015"
"Consumer price indexes, purchasing power parity exchange rates, and updating","A Deaton","Unpublished paper for the PWT Workshop May, 2012","10","2012"
"Maximum prophet","A Deaton","The Lancet 372 (9649), 1535-1536, 2008","10","2008"
"Letters from America: The Minimum Wage","A Deaton","Newsletter of the Royal Economic Society 95, 13, 1996","10","1996"
"Savings and inflation: Theory and British evidence","A Deaton","The Determinants of National Saving and Wealth, 125-139, 1983","10","1983"
"& J+ Muellbauer~ 1980","A Deaton","Economics and Consumer Behavior, 0","10",""
"Do context effects limit the usefulness of self-reported well-being measures","A Deaton, A Stone","Research Program in Development Studies Working Paper 288, 2013","9","2013"
"Letter from America-On transatlantic vices, or Stern in America","A Deaton","Royal Economic Society Newsletter 139, 3-4, 2007","9","2007"
"Wealth, health, and health services in rural Rajasthan","A Banerjee, A Deaton, E Duflo","Massachusetts Institute of Technology, 2003","9","2003"
"Measuring poverty: A new approach","RT Michael, AB Atkinson, DM Betson, RM Blank, LD Bobo, J Brooks-Gunn, ...","Advancing the Consumer Interest, 18-23, 1997","9","1997"
"The Analysis of Household Surveys: The Microeconometrics of Household Surveys","A Deaton","Washington, DC: World Bank, 1997","9","1997"
"Inequality within and between households in growing and aging economies","A Deaton","Quibria,-M.-G., ed. Critical issues in Asian development: Theories …, 1995","9","1995"
"Household surveys as a data base for the analysis of optimality and disequilibrium","A Deaton","Sankhya: The Indian Journal of Statistics, Series B, 228-246, 1984","9","1984"
"Issues in the Methodology of Multimarket Analysis of Agricultural Pricing Policies","A Deaton","Woodrow Wilson School, Princeton University, 1984","9","1984"
"ECONOMETRIC MODELS FOR THE PERSONAL SECTOR*","AS Deaton, KJ Wigley","Bulletin of the Oxford University Institute of Economics & Statistics 33 (2 …, 1971","9","1971"
"What's wrong with inequality?","A Deaton","The Lancet 381 (9864), 363, 2013","8","2013"
"Calibrating measurement uncertainty in purchasing power parity exchange rates","A Deaton","International Comparison Program (ICP) Technical Advisory Group, Washington …, 2012","8","2012"
"Your Wolf is Interfering with my T-value!","A Deaton","Royal Economic Society Newsletter 159 (4), 2012","8","2012"
