"paperName","researcher","journal","citations","year"
"The principal-agent relationship with an informed principal, II: Common values","E Maskin, J Tirole","Econometrica: Journal of the Econometric Society, 1-42, 1992","563","1992"
"Efficient patent pools","J Lerner, J Tirole","American Economic Review 94 (3), 691-711, 2004","561","2004"
"Sequential bargaining with incomplete information","D Fudenberg, J Tirole","The Review of Economic Studies 50 (2), 221-247, 1983","550","1983"
"Contract renegotiation and Coasian dynamics","OD Hart, J Tirole","The Review of Economic Studies 55 (4), 509-540, 1988","533","1988"
"Auctioning incentive contracts","JJ Laffont, J Tirole","Journal of Political Economy 95 (5), 921-937, 1987","517","1987"
"LAPM: A liquidity-based asset pricing model","B Holmström, J Tirole","the Journal of Finance 56 (5), 1837-1867, 2001","507","2001"
"The principal-agent relationship with an informed principal: The case of private values","E Maskin, J Tirole","Econometrica: Journal of the Econometric Society, 379-409, 1990","503","1990"
"Reliability and competitive electricity markets","P Joskow, J Tirole","The Rand Journal of Economics 38 (1), 60-84, 2007","493","2007"
"Internet interconnection and the off-net-cost pricing principle","JJ Laffont, S Marcus, P Rey, J Tirole","RAND Journal of Economics, 370-390, 2003","490","2003"
"Procurement and renegotiation","J Tirole","Journal of Political Economy 94 (2), 235-259, 1986","488","1986"
"Learning-by-doing and market performance","D Fudenberg, J Tirole","The Bell Journal of Economics, 522-530, 1983","485","1983"
"MERCHANT TRANSMISSION INVESTMENT*","P Joskow, J Tirole","The Journal of industrial economics 53 (2), 233-264, 2005","474","2005"
"Privatization and incentives","JJ Laffont, J Tirole","JL Econ. & Org. 7, 84, 1991","473","1991"
"Creating competition through interconnection: Theory and practice","JJ Laffont, I Gremaq, J Tirole, I Geras","Journal of Regulatory Economics 10 (3), 227-256, 1996","437","1996"
"The economics of tacit collusion","M Ivaldi, B Jullien, P Rey, P Seabright, J Tirole","Final report for DG competition, European Commission, 4-5, 2003","433","2003"
"Financial crises, liquidity, and the international monetary system","J Tirole","Princeton University Press, 2002","433","2002"
"The open source movement: Key research questions","J Lerner, J Tirole","European economic review 45 (4-6), 819-826, 2001","417","2001"
"Transfer pricing and organizational form","B Holmstrom, J Tirole","JL Econ. & Org. 7, 201, 1991","417","1991"
"A theory of exit in duopoly","D Fudenberg, J Tirole","Econometrica: Journal of the Econometric Society, 943-960, 1986","416","1986"
"Connectivity in the commercial Internet","J Cremer, P Rey, J Tirole","The Journal of Industrial Economics 48 (4), 433-472, 2000","414","2000"
"A theory of incentives in regulation and procurement","JJ Laffont, J Tirole","Information, Economics and Policy 6 (1), 89-93, 1993","405","1993"
"Adverse selection and renegotiation in procurement","JJ Laffont, J Tirole","The Review of Economic Studies 57 (4), 597-625, 1990","382","1990"
"Inside and outside liquidity","B Holmström, J Tirole","MIT press, 2011","371","2011"
"Upgrades, tradeins, and buybacks","D Fudenberg, J Tirole","The RAND Journal of Economics, 235-258, 1998","367","1998"
"Bubbly liquidity","E Farhi, J Tirole","The Review of Economic Studies 79 (2), 678-706, 2011","355","2011"
"The joint design of unemployment insurance and employment protection: A first pass","OJ Blanchard, J Tirole","Journal of the European Economic Association 6 (1), 45-77, 2008","334","2008"
"Modes of communication","M Dewatripont, J Tirole","Journal of Political Economy 113 (6), 1217-1238, 2005","323","2005"
"Capital as a commitment: Strategic investment to deter mobility","D Fudenberg, J Tirole","Journal of Economic Theory 31 (2), 227-250, 1983","321","1983"
"Illiquidity and all its friends","J Tirole","Journal of Economic Literature 49 (2), 287-325, 2011","313","2011"
"Game theory, 1991","D Fudenberg, J Tirole","Cambridge, Massachusetts 393 (12), 80, 1991","310","1991"
"La teoría de la organización industrial","J Massó Carreras","Editorial Ariel, 1990","299","1990"
"Public–private partnerships and government spending limits","E Maskin, J Tirole","International Journal of Industrial Organization 26 (2), 412-420, 2008","289","2008"
"Dynamic models of oligopoly","D Fudenberg, J Tirole","Routledge, 2013","286","2013"
"Cognition and incomplete contracts","J Tirole","American Economic Review 99 (1), 265-94, 2009","286","2009"
"Industrial organization","J Tirole","MIT press, 1988","269","1988"
"Two remarks on the property-rights literature","E Maskin, J Tirole","The Review of Economic Studies 66 (1), 139-149, 1999","262","1999"
"Liquidity and risk management","B Holmström, J Tirole","Journal of Money, Credit and Banking, 295-319, 2000","256","2000"
"Overcoming adverse selection: How public intervention can restore market functioning","J Tirole","American Economic Review 102 (1), 29-59, 2012","255","2012"
"Government intervention in production and incentives theory: a review of recent contributions","B Caillaud, R Guesnerie, P Rey, J Tirole","The Rand Journal of Economics, 1-26, 1988","255","1988"
"Balancing the banks: Global lessons from the financial crisis","M Dewatripont, JC Rochet, J Tirole","Princeton University Press, 2010","249","2010"
"Théorie de l'organisation industrielle","J Tirole, ...","Economica, 1993","242","1993"
"Laws and norms","R Benabou, J Tirole","National Bureau of Economic Research, 2011","238","2011"
"Industrieökonomik","J Tirole","Walter de Gruyter GmbH & Co KG, 2015","237","2015"
"Pricing a network good to deter entry","D Fudenberg, J Tirole","The Journal of Industrial Economics 48 (4), 373-390, 2000","229","2000"
"Banks as secret keepers","TV Dang, G Gorton, B Holmström, G Ordonez","American Economic Review 107 (4), 1005-29, 2017","228","2017"
"Privatization in Eastern Europe: incentives and the economics of transition","J Tirole","NBER macroeconomics annual 6, 221-259, 1991","226","1991"
"On the"" receiver-pays"" principle","DS Jeon, JJ Laffont, J Tirole","RAND Journal of Economics, 85-110, 2004","218","2004"
"Repeated auctions of incentive contracts, investment, and bidding parity with an application to takeovers","JJ Laffont, J Tirole","The RAND Journal of Economics, 516-537, 1988","218","1988"
"Retail electricity competition","P Joskow, J Tirole","The Rand Journal of Economics 37 (4), 799-815, 2006","216","2006"
"Parties as political intermediaries","B Caillaud, J Tirole","The Quarterly Journal of Economics 117 (4), 1453-1489, 2002","213","2002"
"Pollution permits and environmental innovation","JJ Laffont, J Tirole","Journal of Public Economics 62 (1-2), 127-140, 1996","210","1996"
"A theory of dynamic oligopoly, III: Cournot competition","E Maskin, J Tirole","European Economic Review 31 (4), 947-968, 1987","209","1987"
"A model of forum shopping","J Lerner, J Tirole","American Economic Review 96 (4), 1091-1113, 2006","206","2006"
"Auction design and favoritism","JJ Laffont, J Tirole","International Journal of Industrial Organization 9 (1), 9-42, 1991","206","1991"
"Exit options in corporate finance: Liquidity versus incentives","P Aghion, P Bolton, J Tirole","Review of finance 8 (3), 327-353, 2004","201","2004"
"Inefficient foreign borrowing: A dual-and common-agency perspective","J Tirole","American Economic Review 93 (5), 1678-1702, 2003","199","2003"
"Économie du bien commun","J Tirole","Presses universitaires de France, 2016","195","2016"
"Protection de l'emploi et procédures de licenciement","O Blanchard, J Tirole","La documentation française, 2003","193","2003"
"The rules of standard-setting organizations: an empirical analysis","B Chiao, J Lerner, J Tirole","The RAND Journal of Economics 38 (4), 905-930, 2007","192","2007"
"Noncooperative game theory for industrial organization: an introduction and overview","D Fudenberg, J Tirole","Handbook of industrial Organization 1, 259-327, 1989","187","1989"
"Multitask agency problems: Focus and task clustering","M Dewatripont, I Jewitt, J Tirole","European economic review 44 (4-6), 869-877, 2000","186","2000"
"A theory of procurement and regulation","JJ Laffont, J Tirole","Cambridge: MIT Press. Leibenstein, H.(1966). Allocative efficiency versus X …, 1993","186","1993"
"Deadly embrace: Sovereign and financial balance sheets doom loops","E Farhi, J Tirole","The Review of Economic Studies 85 (3), 1781-1823, 2017","185","2017"
"Pollution permits and compliance strategies","JJ Laffont, J Tirole","Journal of Public Economics 62 (1-2), 85-125, 1996","183","1996"
"Efficient governance structure: implications for banking regulation","M Dewatripont, J Tirole","Capital markets and financial intermediation 1235, 1993","183","1993"
"Mindful economics: The production, consumption, and value of beliefs","R Bénabou, J Tirole","Journal of Economic Perspectives 30 (3), 141-64, 2016","173","2016"
"Rational irrationality: Some economics of self-management","J Tirole","European Economic Review 46 (4-5), 633-655, 2002","166","2002"
"Understanding rent dissipation: on the use of game theory in industrial organization","D Fudenberg, J Tirole","The American Economic Review 77 (2), 176-183, 1987","164","1987"
"Bonus culture: Competitive pay, screening, and multitasking","R Bénabou, J Tirole","Journal of Political Economy 124 (2), 305-370, 2016","163","2016"
"The design of patent pools: The determinants of licensing rules","J Lerner, M Strojwas, J Tirole","The RAND Journal of Economics 38 (3), 610-625, 2007","163","2007"
"Controlling risk in payment systems","JC Rochet, J Tirole","Journal of Money, Credit and Banking 28 (4), 832-862, 1996","154","1996"
"The regulation of multiproduct firms: Part I: Theory","JJ Laffont, J Tirole","Journal of Public Economics 43 (1), 1-36, 1990","140","1990"
"Consensus building: How to persuade a group","B Caillaud, J Tirole","American Economic Review 97 (5), 1877-1900, 2007","137","2007"
"The dynamics of open-source contributors","J Lerner, PA Pathak, J Tirole","American Economic Review 96 (2), 114-118, 2006","134","2006"
"An economic analysis of the determination of interchange fees in payment card systems","JC Rochet, J Tirole","Review of Network Economics 2 (2), 2003","133","2003"
"Defining two-sided markets","JC Rochet, J Tirole","Toulouse, France: IDEI, mimeo, January, 2004","132","2004"
"Fairness, incentives and contractual incompleteness","E Fehr, A Klein, KM Schmidt","CEPR Discussion Paper, 2001","131","2001"
"Standard-essential patents","J Lerner, J Tirole","Journal of Political Economy 123 (3), 547-586, 2015","130","2015"
"Comparative statics of the optimal dynamic incentive contract","JJ Laffont, J Tirole","European Economic Review 31 (4), 901-926, 1987","123","1987"
"Economics for the common good","J Tirole","Princeton University Press, 2017","121","2017"
"Must-take cards: Merchant discounts and avoided costs","JC Rochet, J Tirole","Journal of the European Economic Association 9 (3), 462-495, 2011","119","2011"
"Optimal bypass and cream skimming","JJ Laffont, J Tirole","The American Economic Review, 1042-1061, 1990","119","1990"
"The politics of government decision making: regulatory institutions","JJ Laffont, J Triole","JL Econ & Org. 6, 1, 1990","119","1990"
"Self-control in peer groups","M Battaglini, R Bénabou, J Tirole","Journal of Economic Theory 123 (2), 105-134, 2005","118","2005"
"Some implications of growth for organizational form and ownership structure","P Aghion, J Tirole","European Economic Review 39 (3-4), 440-455, 1995","116","1995"
"Tying in two-sided markets and the honor all cards rule","JC Rochet, J Tirole","International journal of industrial organization 26 (6), 1333-1347, 2008","115","2008"
"Evaluating economics research in Europe: An introduction","JP Neary, JA Mirrlees, J Tirole","Journal of the European Economic Association 1 (6), 1239-1249, 2003","115","2003"
"Opening the black box of innovation","P Aghion, J Tirole","European Economic Review 38 (3-4), 701-710, 1994","115","1994"
"Self-confidence and social interactions","R Bénabou, J Tirole","National bureau of economic research, 2000","111","2000"
"Modeling aggregate liquidity","B Holmstrom, J Tirole","The American Economic Review 86 (2), 187-191, 1996","110","1996"
"Contours of employment protection reform","OJ Blanchard, J Tirole","MIT Department of Economics Working Paper, 2003","108","2003"
"Fear of rejection? Tiered certification and transparency","E Farhi, J Lerner, J Tirole","The RAND Journal of Economics 44 (4), 610-631, 2013","104","2013"
"Cooperative marketing agreements between competitors: Evidence from patent pools","J Lerner, J Tirole, M Strojwas","National Bureau of Economic Research, 2003","100","2003"
"Identity, dignity and taboos: Beliefs as assets","R Bénabou, J Tirole","CEPR Discussion Paper No. DP6123, 2007","98","2007"
"Self confidence: Intrapersonal strategies","R Benabou, J Tirole","Woodrow Wilson School Working Paper, 2000","98","2000"
"The analysis of tying cases: A primer","J Tirole","Competition Policy International 1 (1), 1-25, 2005","96","2005"
"Internet peering","JJ Laffont, S Marcus, P Rey, J Tirole","American Economic Review 91 (2), 287-291, 2001","96","2001"
"Regional initiatives and the cost of delaying binding climate change agreements","J Beccherle, J Tirole","Journal of Public Economics 95 (11-12), 1339-1348, 2011","92","2011"
"Public and private supply of liquidity","B Holmstrom, J Tirole","Journal of Political Economy 106 (1), 1-40, 1998","92","1998"
"Competition between telecommunications operators","JJ Laffont, P Rey, J Tirole","European Economic Review 41 (3-5), 701-711, 1997","92","1997"
"The multicontract organization","J Tirole","Canadian Journal of Economics, 459-466, 1988","92","1988"
"Incomplete information bargaining with outside opportunities","D Fudenberg, DK Levine, J Tirole","The Quarterly Journal of Economics 102 (1), 37-50, 1987","86","1987"
"Party governance and ideological bias","B Caillaud, J Tirole","European Economic Review 43 (4-6), 779-789, 1999","84","1999"
"Financing and access in cooperatives","P Rey, J Tirole","International Journal of Industrial Organization 25 (5), 1061-1088, 2007","81","2007"
"Bounded rationality and incomplete contracts","L Anderlini, L Felli","Research in Economics 58 (1), 3-30, 2004","79","2004"
"Vertical restraints from a principal-agent viewpoint","P Rey, J Tirole","Cambridge, Mass.: Massachusetts Institute of Technology, Dept. of Economics, 1985","79","1985"
"Self-knowledge and self-regulation: An economic approach","R Bénabou, J Tirole","The psychology of economic decisions 1, 137-167, 2003","78","2003"
"Negotiating effective institutions against climate change","C Gollier, J Tirole","Economics of Energy & Environmental Policy 4 (2), 5-28, 2015","76","2015"
"Macroeconomic shocks and banking regulation","M Dewatripont, J Tirole","Journal of Money, Credit and Banking 44, 237-254, 2012","76","2012"
"The economics of unilateral effects","M Ivaldi, B Jullien, P Rey, P Seabright, J Tirole","Interim Report for DG Competition, European Commission, 2003","74","2003"
"Market failures and public policy","J Tirole","American Economic Review 105 (6), 1665-82, 2015","72","2015"
"Leverage and the central banker's put","E Farhi, J Tirole","American Economic Review 99 (2), 589-93, 2009","69","2009"
"Externalities and regulation in card payment systems","JC Rochet, J Tirole","Review of Network Economics 5 (1), 2006","69","2006"
"Politique climatique: une nouvelle architecture internationale","France. Conseil d'analyse économique (CAE), J Tirole, J Mistral, R Sève","Documentation française, 2010","68","2010"
"The theory of industrial organization MIT Press","J Tirole","Cambridge, MA 41, 1988","68","1988"
"Market power screens willingness-to-pay","EG Weyl, J Tirole","The Quarterly Journal of Economics 127 (4), 1971-2003, 2012","67","2012"
"The theory of industrial organization, 1988","J Tirole","Massachusetts Institute of Technology, Cambridge, Massachusetts, 1990","67","1990"
"Robust comparative statics in large dynamic economies","D Acemoglu, MK Jensen","Journal of Political Economy 123 (3), 587-640, 2015","64","2015"
"Essential facility financing and market structure","B Caillaud, J Tirole","Journal of Public Economics 88 (3-4), 667-694, 2004","64","2004"
"On banking and intermediation","J Tirole","European Economic Review 38 (3-4), 469-487, 1994","63","1994"
"La réglementation prudentielle des banques","M Dewatripont, J Tirole","ULB Institutional Repository, 1993","59","1993"
"Country solidarity in sovereign crises","J Tirole","American Economic Review 105 (8), 2333-63, 2015","56","2015"
"Some simple economics of open source","J Tirole, J Lerner","Journal of Industrial Economics 50 (2), 197-234, 2002","55","2002"
"Provision of quality and power of incentive schemes in regulated industries","JJ Laffont, J Tirole","Equilibrium Theory and Applications: Proceeding of the Sixth International …, 1991","55","1991"
"Valuing adaptation under rapid change","RN Jones, C Young, J Handmer","National Climate Change Adaptation Research Facility, 2013","52","2013"
"Liquidity shortages: theoretical underpinnings","J Tirole","Banque de France Financial Stability Review: Special Issue on Liquidity 11 …, 2008","52","2008"
"Over my dead body: Bargaining and the price of dignity","R Bénabou, J Tirole","American Economic Review 99 (2), 459-65, 2009","51","2009"
"Redesigning the employment protection system","O Blanchard, J Tirole","De Economist 152 (1), 1-20, 2004","51","2004"
"The Theory of Industrial Organization, vol. 1 of MIT Press Books","J Tirole","The MIT Press, 1988","51","1988"
"The rules of standard setting organizations: an empirical analysis","B Chiao, J Lerner, J Tirole","National Bureau of Economic Research, 2005","50","2005"
"Economic perspectives on open source","J Lerner, J Tirole","Intellectual Property and Entrepreneurship, 33-69, 2004","49","2004"
"A theory of incentives in procurement and regulation","J Tirole, JJ Laffont","MIT Press, 1993","49","1993"
"The new Palgrave dictionary of economics","RJ Shiller, J Tirole, O Williamson","","47","2008"
"Efficient patent pools","J Lerner, J Tirole","National Bureau of Economic Research, 2002","47","2002"
"L'économie de la recherche-développement: introduction à certains travaux théoriques","R Guesnerie, J Tirole","Revue économique, 843-871, 1985","47","1985"
"Public policy toward patent pools","J Lerner, J Tirole","Innovation Policy and the Economy 8, 157-186, 2007","46","2007"
"Comentario a la propuesta de Engel, Fischer y Galetovic sobre licitación de carreteras","J Tirole","Estudios Públicos 65, 201-214, 1997","46","1997"
"Cost padding, auditing and collusion","JJ Laffont, J Tirole","Annales d'Économie et de Statistique, 205-226, 1992","46","1992"
"Predation without reputation","D Fudenberg, J Tirole","Cambridge, Mass.: Department of Economics, Massachusetts Institute of Technology, 1985","45","1985"
"Transmission investment: alternative institutional frameworks","P Joskow, J Tirole","mimeo, 2002","44","2002"
"Environmental policy, compliance and innovation","JJ Laffont, J Tirole","European Economic Review 38 (3-4), 555-562, 1994","44","1994"
"Correlated equilibria and sunspots","E Maskin, J Tirole","Journal of Economic Theory 43 (2), 364-373, 1987","44","1987"
"Must-take cards and the tourist test","JC Rochet, J Tirole","IDEI, University of Toulouse, mimeo, 2006","43","2006"
"Handbook of industrial organization","MK Perry, R Schmalensee, RD Willig","Elsevier, edition 1, 185-255, 1989","43","1989"
"Protection de la propriété intellectuelle: une introduction et quelques pistes de réflexion","J Tirole","Tirole, J.; Henry, C.; Trommetter, M, 5-48, 2003","40","2003"
"Concurrence imparfaite","J Tirole","Economica, 1985","39","1985"
"Liquid bundles","E Farhi, J Tirole","Journal of Economic Theory 158, 634-655, 2015","38","2015"
"Market power and regulation","J Tirole","Scientific Background on the Sveriges Riksbank Prize in Economic Sciences in …, 2014","38","2014"
"The euro crisis: some reflexions on institutional reform","J Tirole","Financial Stability Review (Banque de France) 16, 225-242, 2012","37","2012"
"Régulation des relations entre fournisseurs et distributeurs","P Rey, J Tirole","La Documentation française, 2000","37","2000"
"Strengthening the efficiency of public procurement","S Saussier, J Tirole","Notes du conseil d’analyse économique, 1-12, 2015","36","2015"
"The activities of a monopoly firm in adjacent competitive markets: Economic consequences and implications for competition policy","P Rey, P Seabright, J Tirole","IDEI Working Paper 132, 2001","36","2001"
"Some political economy of global warming","J Tirole","Economics of Energy & Environmental Policy 1 (1), 121-132, 2012","35","2012"
"A model of forum shopping, with special reference to standard setting organizations","J Lerner, J Tirole","National Bureau of Economic Research, 2004","35","2004"
"Civil banishment of gang members: Circumventing criminal due process requirements","S Smith","U. Chi. L. Rev. 67, 1461, 2000","35","2000"
"Cooperation vs. collusion: How essentiality shapes co-opetition","P Rey, J Tirole","TSE Working Paper 13, 2013","34","2013"
"On nonexclusive membership in competing joint ventures","JA Hausman, GK Leonard, J Tirole","Rand Journal of economics, 43-62, 2003","34","2003"
"Financial Crises","J Tirole","Liquidity and the International Monetary, 2002","34","2002"
"Transmission rights and market power on electric power networks. I, financial rights","PL Joskow, J Tirole","MIT Center for Energy and Environmental Policy Research, 1999","34","1999"
"Lessons from the Crisis","J Tirole","Balancing the banks: Global lessons from the financial crisis, 10-77, 2010","32","2010"
"The optimal design of labor market institutions. a first pass","O Blanchard, J Tirole","NBER working paper 10443, 2004","32","2004"
"The institutional infrastructure of competition policy","J Tirole","Toulouse, Institut D’Economie Industrielle, Prepared for World Bank-CAE …, 1999","32","1999"
"Analyse économique de la notion de prix de prédation","P Rey, J Tirole","Revue française d'économie 12 (1), 3-32, 1997","32","1997"
"Narratives, imperatives and moral reasoning","A Falk, J Tirole","Unpublished manuscript, 2016","31","2016"
"Motivation intrinsèque, incitations et normes sociales","J Tirole","Revue économique 60 (3), 577-589, 2009","31","2009"
"Divergence of objectives and the governance of joint ventures","P Rey, J Tirole","Institut d'economie industrielle, Université des Sciences sociales de Toulouse, 1999","31","1999"
"Persistence of corruption","J Tirole","","31","1992"
"Tax reform from the gradient projection viewpoint","J Tirole, R Guesnerie","Journal of Public Economics 15 (3), 275-293, 1981","31","1981"
"Shadow banking and the four pillars of traditional financial intermediation","E Farhi, J Tirole","National Bureau of Economic Research, 2017","30","2017"
"The structure and performance of patent pools: empirical evidence","J Lerner, M Strojwas, J Tirole","working paper, 2003","30","2003"
"<U+535A><U+5F08><U+8BBA>","D Fudenberg, J Tirole","<U+5317><U+4EAC>: <U+4E2D><U+56FD><U+4EBA><U+6C11><U+5927><U+5B66><U+51FA><U+7248><U+793E> 101, 810-837, 2002","30","2002"
"Brookings Papers on Economic Activity: Microeconomics","BH Hall","","30","1990"
"The economics of tacit collusion: implications for merger control","M Ivaldi, B Jullien, P Rey, P Seabright, J Tirole","The Political Economy of Antitrust, 217-239, 2007","29","2007"
